Episode,Seat,Score,Turn,Epsilon,Penalty456,Yaku,MZScore, HandComplete
203,West,658,87,0.361,0,,1, 
204,South,786,87,0.360,0,,2, 
205,North,1178,87,0.358,0,,1, 
206,North,538,87,0.356,0,,0, 
207,North,610,87,0.354,0,,1, 
208,West,730,87,0.353,0,,2, 
209,East,778,87,0.351,0,,1, 
210,North,1298,87,0.349,0,,4, 
Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TZ_Score,Tenpai,HandComplete
1,East,276,86,0.995,0,,20,50,0,
2,North,230,86,0.990,0,,15,46,0,
3,West,408,86,0.985,0,,14,92,0,
4,East,344,86,0.980,0,,12,79,0,
5,West,192,86,0.975,0,,16,35,0,
6,South,412,86,0.970,0,,10,99,0,
7,East,236,86,0.966,0,,8,58,0,
Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TZ_Score,Tenpai,HandComplete
1,South,404,86,0.995,0,,22,79,0,
2,South,192,86,0.990,0,,0,59,0,
3,West,340,86,0.985,0,,28,54,0,
4,North,204,86,0.980,0,,4,56,0,
5,South,268,86,0.975,0,,2,75,0,
6,West,190,86,0.970,0,,7,48,0,
7,North,334,86,0.966,0,,11,78,0,
Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TZ_Score,Tenpai,HandComplete
1,North,272,86,0.995,0,,18,52,0,
Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TZ_Score,Tenpai,HandComplete
1,East,212,86,0.995,0,,18,37,0,
2,East,178,86,0.990,0,,1,54,0,
3,North,280,86,0.985,0,,20,51,0,
4,East,190,86,0.980,0,,19,30,0,
5,West,182,86,0.975,0,,5,49,0,
6,East,104,86,0.970,0,,2,34,0,
7,West,344,86,0.966,0,,16,73,0,
8,North,344,86,0.961,0,,24,61,0,
9,North,190,86,0.956,0,,7,48,0,
Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TZ_Score,Tenpai,HandComplete
1,North,272,86,0.995,0,,18,52,0,
2,East,268,86,0.990,0,,24,42,0,
3,North,224,86,0.985,0,,20,37,0,
4,South,188,86,0.980,0,,10,43,0,
5,South,284,86,0.975,0,,8,70,0,
6,West,238,86,0.970,0,,19,42,0,
7,North,152,86,0.966,0,,22,16,0,
8,East,256,86,0.961,0,,20,45,0,
9,West,208,86,0.956,0,,20,33,0,
10,West,434,86,0.951,0,,11,103,0,
11,South,214,86,0.946,0,,11,48,0,
12,South,238,86,0.942,0,,7,60,0,
13,East,186,86,0.937,0,,9,44,0,
14,South,438,86,0.932,0,,35,68,0,
15,North,122,86,0.928,0,,5,34,0,
16,West,220,86,0.923,0,,12,48,0,
17,East,472,86,0.918,0,,6,120,0,
18,South,478,86,0.914,0,,15,108,0,
19,North,270,86,0.909,0,,15,56,0,
20,West,328,86,0.905,0,,32,45,0,
21,East,384,86,0.900,0,,26,68,0,
22,North,168,86,0.896,0,,10,38,0,
23,North,448,86,0.891,0,,2,120,0,
24,East,326,86,0.887,0,,19,64,0,
25,North,362,86,0.882,0,,9,88,0,
26,East,138,86,0.878,0,,7,35,0,
27,South,404,86,0.873,0,,10,97,0,
28,West,82,86,0.869,0,,7,21,0,
29,South,156,86,0.865,0,,16,26,0,
30,North,194,86,0.860,0,,17,34,0,
31,West,384,86,0.856,0,,16,83,0,
32,West,166,86,0.852,0,,7,42,0,
33,South,200,86,0.848,0,,14,40,0,
34,South,434,86,0.843,0,,25,82,0,
35,North,224,86,0.839,0,,18,40,0,
36,West,234,86,0.835,0,,21,38,0,
37,North,406,86,0.831,0,,27,72,0,
38,West,504,86,0.827,0,,14,116,0,
39,West,372,86,0.822,0,,8,92,0,
40,North,420,86,0.818,0,,16,92,0,
41,East,490,86,0.814,0,,7,123,0,
42,North,216,86,0.810,0,,10,50,0,
43,West,170,86,0.806,0,,11,37,0,
44,West,374,86,0.802,0,,17,79,0,
45,North,352,86,0.798,0,,32,51,0,
46,East,306,86,0.794,0,,29,44,0,
47,West,230,86,0.790,0,,13,49,0,
48,East,404,86,0.786,0,,26,73,0,
49,North,194,86,0.782,0,,15,37,0,
50,East,298,86,0.778,0,,21,54,0,
51,West,588,86,0.774,0,,52,80,0,
52,North,178,86,0.771,0,,21,24,0,
53,South,304,86,0.767,0,,10,72,0,
54,South,406,86,0.763,0,,23,78,0,
55,South,192,86,0.759,0,,12,41,0,
56,North,340,86,0.755,0,,20,66,0,
57,West,206,86,0.751,0,,7,52,0,
58,East,342,86,0.748,0,,29,53,0,
59,East,248,86,0.744,0,,24,37,0,
60,West,288,86,0.740,0,,2,80,0,
61,East,262,86,0.737,0,,3,72,0,
62,West,300,86,0.733,0,,14,65,0,
63,South,216,86,0.729,0,,0,65,0,
64,North,230,86,0.726,0,,21,37,0,
65,North,268,86,0.722,0,,20,48,0,
66,West,174,86,0.718,0,,13,35,0,
Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TZ_Score,Tenpai,HandComplete
