Episode,Score,Turn,Epsilon,Reward,Penalty456,Complete,MZScore, HandComplete
1154,24451,72,0.050,24451,0,赤ドラ1 清一色 一気通貫,16, 筒子1 筒子1 筒子1 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5赤ドラ 筒子6 筒子7 筒子8 筒子9
1155,16965,96,0.050,16965,0,断么九 清一色,16, 筒子2 筒子3 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5 筒子6 筒子6 筒子7 筒子7 筒子7 筒子7
1156,19241,85,0.050,19241,0,赤ドラ1 清一色,16, 筒子1 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子4 筒子5赤ドラ 筒子5 筒子5 筒子7 筒子7 筒子7
1157,4191,126,0.050,4191,0,,8, 
1158,17802,72,0.050,17802,0,赤ドラ1 清一色,16, 筒子1 筒子1 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5赤ドラ 筒子5 筒子7 筒子8 筒子9
1159,20994,47,0.050,20994,0,赤ドラ1 断么九 清一色,16, 筒子2 筒子2 筒子2 筒子3 筒子4 筒子4 筒子4 筒子5 筒子5赤ドラ 筒子6 筒子6 筒子7 筒子7 筒子8
1160,10657,126,0.050,10657,0,,4, 
1161,4744,126,0.050,4744,0,,8, 
1162,16492,126,0.050,16492,0,,8, 
1163,17812,28,0.050,17812,0,清一色,16, 筒子1 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子4 筒子5 筒子5 筒子5 筒子6 筒子7 筒子8
1164,27014,84,0.050,27014,0,赤ドラ1 清一色 一気通貫,16, 筒子1 筒子2 筒子3 筒子4 筒子4 筒子5赤ドラ 筒子5 筒子5 筒子5 筒子6 筒子6 筒子7 筒子8 筒子9
1165,21042,74,0.050,21042,0,赤ドラ1 断么九 清一色,16, 筒子3 筒子3 筒子3 筒子4 筒子4 筒子4 筒子5 筒子5赤ドラ 筒子6 筒子6 筒子7 筒子7 筒子8 筒子8
1166,8207,126,0.050,8207,0,,8, 
1167,16144,54,0.050,16144,0,清一色,16, 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子6 筒子6 筒子6 筒子7 筒子7 筒子8 筒子8 筒子9
1168,14637,121,0.050,14637,0,清一色,16, 筒子1 筒子2 筒子3 筒子4 筒子4 筒子4 筒子6 筒子6 筒子7 筒子7 筒子8 筒子8 筒子9 筒子9
1169,20239,126,0.050,20239,0,,8, 
1170,9581,126,0.050,9581,0,,4, 
1171,15392,96,0.050,15392,0,清一色,16, 筒子2 筒子2 筒子3 筒子3 筒子3 筒子3 筒子4 筒子4 筒子5 筒子6 筒子7 筒子7 筒子8 筒子9
1172,21344,80,0.050,21344,0,断么九 清一色,16, 筒子2 筒子3 筒子3 筒子4 筒子4 筒子4 筒子5 筒子5 筒子6 筒子6 筒子7 筒子7 筒子7 筒子8
1173,21184,82,0.050,21184,0,断么九 清一色,16, 筒子2 筒子2 筒子2 筒子3 筒子3 筒子3 筒子4 筒子4 筒子4 筒子5 筒子5 筒子6 筒子6 筒子7
1174,19164,115,0.050,19164,0,断么九 清一色,16, 筒子2 筒子3 筒子4 筒子4 筒子4 筒子4 筒子5 筒子5 筒子5 筒子6 筒子6 筒子7 筒子7 筒子8
1175,20880,118,0.050,20880,0,清一色 一気通貫,16, 筒子1 筒子2 筒子3 筒子3 筒子4 筒子5 筒子6 筒子6 筒子7 筒子7 筒子8 筒子8 筒子9 筒子9
1176,5682,126,0.050,5682,0,,8, 
1177,17781,126,0.050,17781,0,,8, 
1178,12127,76,0.050,12127,0,混一色,16, 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5 筒子6 筒子6 筒子7 筒子7 白ちゃん 白ちゃん
1179,18425,99,0.050,18425,0,断么九 清一色,16, 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5 筒子5 筒子7 筒子7 筒子7 筒子8 筒子8
1180,6583,126,0.050,6583,0,,4, 
1181,10328,126,0.050,10328,0,,4, 
1182,22538,117,0.050,22538,0,赤ドラ1 断么九 清一色,16, 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5赤ドラ 筒子5 筒子5 筒子6 筒子6 筒子7 筒子7 筒子8
1183,10468,126,0.050,10468,0,,1, 
1184,17040,114,0.050,17040,0,七対子 混一色,16, 筒子2 筒子2 筒子4 筒子4 筒子5 筒子5 筒子6 筒子6 筒子7 筒子7 筒子8 筒子8 南風 南風
1185,17582,123,0.050,17582,0,赤ドラ1 清一色,16, 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5赤ドラ 筒子5 筒子6 筒子6 筒子6 筒子7 筒子7 筒子8 筒子9
1186,11661,126,0.050,11661,0,,2, 
1187,11450,126,0.050,11450,0,,4, 
1188,20553,120,0.050,20553,0,赤ドラ1 断么九 清一色,16, 筒子2 筒子3 筒子4 筒子5 筒子5赤ドラ 筒子5 筒子6 筒子6 筒子7 筒子7 筒子7 筒子8 筒子8 筒子8
1189,16397,83,0.050,16397,0,清一色,16, 筒子1 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5 筒子6 筒子7 筒子7 筒子7 筒子8 筒子8
1190,17661,93,0.050,17661,0,断么九 清一色,16, 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子6 筒子6 筒子7 筒子7 筒子8 筒子8 筒子8 筒子8
1191,23793,98,0.050,23793,0,清一色,16, 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5 筒子6 筒子6 筒子7 筒子7 筒子9 筒子9
1192,19971,117,0.050,19971,0,断么九 清一色,16, 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5 筒子6 筒子6 筒子7 筒子7 筒子8 筒子8 筒子8
1193,3200,126,0.050,3200,0,,4, 
1194,25801,69,0.050,25801,0,赤ドラ1 断么九 清一色,16, 筒子3 筒子3 筒子4 筒子4 筒子4 筒子5 筒子5 筒子5赤ドラ 筒子6 筒子6 筒子7 筒子7 筒子8 筒子8
1195,15606,79,0.050,15606,0,清一色,16, 筒子1 筒子2 筒子3 筒子4 筒子5 筒子5 筒子6 筒子6 筒子6 筒子7 筒子7 筒子8 筒子8 筒子8
1196,17918,80,0.050,17918,0,清一色,16, 筒子1 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5 筒子6 筒子6 筒子7 筒子7 筒子7 筒子8
1197,18575,99,0.050,18575,0,清一色,16, 筒子1 筒子1 筒子1 筒子1 筒子2 筒子3 筒子3 筒子4 筒子5 筒子6 筒子6 筒子6 筒子7 筒子8
1198,29877,85,0.050,29877,0,赤ドラ1 断么九 清一色,16, 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5赤ドラ 筒子5 筒子5 筒子6 筒子6 筒子7 筒子7 筒子8
1199,19549,69,0.050,19549,0,赤ドラ1 断么九 清一色,16, 筒子2 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5赤ドラ 筒子6 筒子6 筒子6 筒子6 筒子7 筒子8
1200,24157,70,0.050,24157,0,赤ドラ1 清一色 一気通貫,16, 筒子1 筒子2 筒子3 筒子4 筒子5 筒子5 筒子5 筒子5赤ドラ 筒子6 筒子6 筒子6 筒子7 筒子8 筒子9
1201,5262,126,0.050,5262,0,,2, 
1202,18692,88,0.050,18692,0,断么九 清一色,16, 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5 筒子6 筒子6 筒子7 筒子7 筒子8 筒子8
1203,22000,104,0.050,22000,0,赤ドラ1 清一色,16, 筒子3 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5赤ドラ 筒子6 筒子6 筒子7 筒子7 筒子8 筒子8 筒子9
1204,22588,108,0.050,22588,0,赤ドラ1 断么九 清一色,16, 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5赤ドラ 筒子5 筒子6 筒子6 筒子7 筒子7 筒子8 筒子8 筒子8
1205,20347,122,0.050,20347,0,断么九 清一色,16, 筒子2 筒子3 筒子4 筒子4 筒子5 筒子5 筒子6 筒子6 筒子7 筒子7 筒子7 筒子7 筒子8 筒子8
1206,20982,122,0.050,20982,0,赤ドラ1 清一色,16, 筒子1 筒子2 筒子3 筒子3 筒子4 筒子4 筒子4 筒子5 筒子5赤ドラ 筒子5 筒子6 筒子6 筒子7 筒子7
1207,23175,98,0.050,23175,0,清一色,16, 筒子3 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5 筒子6 筒子6 筒子7 筒子7 筒子8 筒子8 筒子9
1208,18488,79,0.050,18488,0,断么九 清一色,16, 筒子2 筒子2 筒子3 筒子3 筒子3 筒子4 筒子4 筒子4 筒子5 筒子5 筒子6 筒子7 筒子8 筒子8
1209,4341,126,0.050,4341,0,,4, 
1210,23595,89,0.050,23595,0,赤ドラ1 断么九 清一色,16, 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5赤ドラ 筒子6 筒子6 筒子7 筒子7 筒子8 筒子8
1211,6220,126,0.050,6220,0,,2, 
1212,24440,73,0.050,24440,0,清一色 一気通貫,16, 筒子1 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5 筒子6 筒子6 筒子6 筒子7 筒子8 筒子9
1213,18397,68,0.050,18397,0,清一色,16, 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子6 筒子6 筒子7 筒子7 筒子8 筒子8 筒子9 筒子9
1214,6559,126,0.050,6559,0,,8, 
1215,12603,109,0.050,12603,0,混一色,16, 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5 筒子6 筒子6 筒子7 筒子7 筒子8 東風 東風
1216,6646,126,0.050,6646,0,,4, 
1217,13028,126,0.050,13028,0,,8, 
1218,24231,56,0.050,24231,0,赤ドラ1 清一色 一気通貫,16, 筒子1 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5赤ドラ 筒子5 筒子6 筒子7 筒子8 筒子9
1219,12207,29,0.050,12207,0,赤ドラ1 混一色,16, 筒子1 筒子2 筒子3 筒子4 筒子5赤ドラ 筒子5 筒子6 筒子6 筒子7 筒子8 筒子8 筒子8 中ちゃん 中ちゃん
1220,18238,62,0.050,18238,0,断么九 清一色,16, 筒子2 筒子2 筒子3 筒子4 筒子4 筒子5 筒子5 筒子6 筒子6 筒子6 筒子7 筒子7 筒子8 筒子8
1221,9474,126,0.050,9474,0,,8, 
1222,26570,94,0.050,26570,0,赤ドラ1 断么九 清一色,16, 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5 筒子5赤ドラ 筒子5 筒子6 筒子6 筒子7 筒子7
1223,17758,126,0.050,17758,0,,8, 
1224,7395,126,0.050,7395,0,,4, 
1225,2297,126,0.050,2297,0,,4, 
1226,4653,126,0.050,4653,0,,8, 
1227,24879,117,0.050,24879,0,断么九 清一色,16, 筒子2 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5 筒子6 筒子7 筒子7 筒子7 筒子8
1228,3538,126,0.050,3538,0,,4, 
1229,22484,120,0.050,22484,0,断么九 清一色,16, 筒子2 筒子3 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5 筒子6 筒子6 筒子7 筒子7 筒子7 筒子7
1230,7109,126,0.050,7109,0,,4, 
1231,21506,43,0.050,21506,0,赤ドラ1 断么九 清一色,16, 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5赤ドラ 筒子6 筒子6 筒子7 筒子7 筒子8 筒子8 筒子8
1232,16021,58,0.050,16021,0,清一色,16, 筒子2 筒子2 筒子3 筒子4 筒子4 筒子5 筒子5 筒子5 筒子6 筒子6 筒子7 筒子7 筒子8 筒子9
1233,22457,110,0.050,22457,0,断么九 清一色,16, 筒子2 筒子3 筒子3 筒子4 筒子4 筒子4 筒子4 筒子5 筒子5 筒子6 筒子6 筒子7 筒子7 筒子8
1234,6365,126,0.050,6365,0,,4, 
1235,21185,112,0.050,21185,0,清一色,16, 筒子1 筒子1 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5 筒子6 筒子6 筒子7 筒子7 筒子8 筒子8
1236,7862,126,0.050,7862,0,,8, 
1237,15533,126,0.050,15533,0,,4, 
1238,24912,67,0.050,24912,0,赤ドラ1 清一色 一気通貫,16, 筒子1 筒子2 筒子3 筒子4 筒子5 筒子5 筒子5 筒子5赤ドラ 筒子6 筒子7 筒子7 筒子7 筒子8 筒子9
1239,3511,126,0.050,3511,0,,1, 
1240,6789,126,0.050,6789,0,,8, 
1241,18016,113,0.050,18016,0,断么九 清一色,16, 筒子2 筒子3 筒子3 筒子3 筒子4 筒子4 筒子4 筒子5 筒子5 筒子6 筒子6 筒子6 筒子7 筒子8
1242,25996,92,0.050,25996,0,赤ドラ1 清一色 一気通貫,16, 筒子1 筒子2 筒子3 筒子3 筒子4 筒子5赤ドラ 筒子5 筒子6 筒子6 筒子6 筒子7 筒子7 筒子8 筒子9
1243,25479,95,0.050,25479,0,断么九 清一色,16, 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子6 筒子6 筒子7 筒子7 筒子7 筒子8 筒子8 筒子8
1244,21995,67,0.050,21995,0,清一色 一気通貫,16, 筒子1 筒子2 筒子3 筒子4 筒子4 筒子5 筒子5 筒子5 筒子6 筒子7 筒子8 筒子9 筒子9 筒子9
1245,15876,50,0.050,15876,0,清一色,16, 筒子2 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子4 筒子5 筒子5 筒子6 筒子7 筒子8 筒子9
