Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TZ_Score,Tenpai,HandComplete
396,South,2380,110,0.137,0,,1440,0,2,筒子6 索子1 副露索子2 副露索子2 副露索子2 副露索子5 副露索子5赤ドラ 副露索子5 索子5 索子6 副露索子7 副露索子7 副露索子7
397,West,124,110,0.137,0,,180,0,0,萬子6 萬子6 萬子6 萬子7 萬子9 筒子1 筒子1 筒子6 筒子7 筒子7 筒子9 索子3 白ちゃん
398,North,812,110,0.136,0,,870,0,0,萬子2 副露萬子5赤ドラ 副露萬子5 副露萬子5 萬子6 副露筒子6 副露筒子6 副露筒子6 筒子6 筒子7 筒子7 筒子7 索子8
399,South,49,110,0.135,0,,105,0,0,萬子2 萬子5 萬子5 萬子8 筒子1 筒子2 筒子2 筒子6 索子2 索子4 索子6 索子8 南風
400,South,482,110,0.135,0,,540,0,0,副露筒子1 副露筒子1 副露筒子1 筒子4 筒子5 筒子7 索子3 索子3 副露索子4 副露索子4 副露索子4 東風 南風
401,South,257,111,0.134,0,,315,0,0,萬子6 萬子8 萬子9 筒子4 索子2 副露索子5 副露索子5 副露索子5 索子8 東風 東風 南風 南風
402,North,349,110,0.133,0,,405,0,0,副露萬子4 副露萬子4 副露萬子4 萬子4 筒子6 筒子9 筒子9 索子1 索子2 索子2 索子7 白ちゃん 中ちゃん
403,South,452,110,0.133,0,,510,0,0,萬子2 萬子9 筒子2 筒子6 筒子8 索子1 索子2 副露索子4 副露索子4 副露索子4 索子5 索子7 索子7
404,South,199,110,0.132,0,,255,0,0,萬子5赤ドラ 筒子6 筒子6 筒子6 筒子7 筒子8 筒子8 筒子9 索子1 索子2 索子7 索子8 白ちゃん
405,North,467,111,0.131,0,,525,0,0,萬子2 萬子6 副露萬子7 副露萬子7 副露萬子7 筒子7 筒子8 索子2 索子2 索子2 索子9 中ちゃん 白ちゃん
406,East,407,110,0.131,0,,465,0,0,副露萬子7 副露萬子7 副露萬子7 筒子1 筒子3 副露筒子4 副露筒子4 副露筒子4 筒子4 筒子5赤ドラ 筒子6 索子6 索子8
407,East,510,111,0.130,0,,570,0,0,萬子6 筒子6 副露索子3 副露索子3 副露索子3 索子6 副露索子7 副露索子7 副露索子7 索子9 索子9 北風 白ちゃん
408,West,274,110,0.129,0,,330,0,0,萬子6 萬子6 萬子6 萬子7 筒子6 筒子9 索子2 副露索子3 副露索子3 副露索子3 索子5 索子9 北風
409,West,525,111,0.129,0,,585,0,0,副露萬子6 副露萬子6 萬子6 副露萬子6 萬子7 萬子9 筒子2 筒子6 筒子7 副露索子1 副露索子1 副露索子1 索子6
410,North,437,110,0.128,0,,495,0,0,萬子1 萬子7 萬子7 萬子8 萬子9 副露筒子2 副露筒子2 副露筒子2 筒子4 筒子7 索子1 索子8 索子9
411,North,469,110,0.127,0,,525,0,0,萬子7 筒子2 筒子3 筒子4 筒子7 筒子7 筒子8 筒子8 筒子9 索子1 索子2 索子9 北風
412,West,272,110,0.127,0,,330,0,0,萬子7 筒子1 副露筒子6 副露筒子6 筒子6 副露筒子6 筒子7 筒子7 筒子8 副露索子2 副露索子2 副露索子2 北風
413,South,617,110,0.126,0,,675,0,0,副露萬子7 副露萬子7 副露萬子7 筒子3 副露筒子5 副露筒子5 副露筒子5 筒子6 索子3 索子5 索子5 索子7 索子9
