Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TZ_Score,Tenpai,HandComplete
433,West,204,107,0.035,0,,260,0,0,
434,East,24,107,0.035,0,,80,0,0,
435,East,214,108,0.035,0,,270,0,0,
436,East,282,107,0.035,0,,340,0,0,
437,East,344,107,0.035,0,,400,0,0,
438,North,86,107,0.035,0,,140,0,0,
439,East,374,107,0.035,0,,430,0,0,
440,South,434,107,0.035,0,,490,0,0,
441,South,64,107,0.035,0,,120,0,0,
442,South,276,107,0.035,0,,330,0,0,
443,North,274,107,0.035,0,,330,0,0,
444,West,-34,107,0.035,0,,20,0,0,
445,South,76,107,0.035,0,,130,0,0,
446,West,66,107,0.035,0,,120,0,0,
447,North,166,107,0.035,0,,220,0,0,
448,South,234,107,0.035,0,,290,0,0,
449,East,94,107,0.035,0,,150,0,0,
450,North,104,107,0.035,0,,160,0,0,
451,North,-14,107,0.035,0,,40,0,0,
452,South,494,107,0.035,0,,550,0,0,
453,East,254,108,0.035,0,,310,0,0,
454,East,54,107,0.035,0,,110,0,0,
455,South,304,107,0.035,0,,360,0,0,
456,West,334,107,0.035,0,,390,0,0,
457,South,264,107,0.035,0,,320,0,0,
458,North,-44,107,0.035,0,,10,0,0,
459,South,16,107,0.035,0,,70,0,0,
460,East,212,108,0.035,0,,270,0,0,
461,North,384,107,0.035,0,,440,0,0,
462,East,352,108,0.035,0,,410,0,0,
463,East,156,107,0.035,0,,210,0,0,
464,East,-6,107,0.035,0,,50,0,0,
465,North,404,108,0.035,0,,460,0,0,
466,South,204,107,0.035,0,,260,0,0,
467,East,652,107,0.035,0,,710,0,0,
468,West,362,107,0.035,0,,420,0,0,
469,North,96,107,0.035,0,,150,0,0,
470,East,492,107,0.035,0,,550,0,0,
471,West,354,107,0.035,0,,410,0,0,
472,East,274,107,0.035,0,,330,0,0,
473,North,584,107,0.035,0,,640,0,0,
474,North,414,107,0.035,0,,470,0,0,
475,North,336,107,0.035,0,,390,0,0,
476,South,194,108,0.035,0,,250,0,0,
477,North,64,107,0.035,0,,120,0,0,
478,South,564,107,0.035,0,,620,0,0,
479,West,234,108,0.035,0,,290,0,0,
480,South,256,107,0.035,0,,310,0,0,
481,East,284,107,0.035,0,,340,0,0,
482,East,126,107,0.035,0,,180,0,0,
483,East,682,107,0.035,0,,740,0,0,
484,West,136,107,0.035,0,,190,0,0,
485,South,414,107,0.035,0,,470,0,0,
486,South,194,107,0.035,0,,250,0,0,
487,South,214,107,0.035,0,,270,0,0,
488,South,334,107,0.035,0,,390,0,0,
489,North,652,108,0.035,0,,710,0,0,
490,South,344,107,0.035,0,,400,0,0,
491,South,354,107,0.035,0,,410,0,0,
492,East,14680,77,0.035,0,中 対々和,470,0,1,萬子2 萬子2 萬子2 萬子9 萬子9 副露索子4 副露索子4 副露索子4 北風 北風 北風 中ちゃん 中ちゃん 中ちゃん
493,East,-16,107,0.035,0,,40,0,0,
494,North,196,107,0.035,0,,250,0,0,
495,North,44,107,0.035,0,,100,0,0,
496,North,374,108,0.035,0,,430,0,0,
497,North,196,107,0.035,0,,250,0,0,
498,South,144,107,0.035,0,,200,0,0,
499,North,472,107,0.035,0,,530,0,0,
500,North,492,107,0.035,0,,550,0,0,
501,East,96,107,0.035,0,,150,0,0,
502,North,124,108,0.035,0,,180,0,0,
503,East,214,108,0.035,0,,270,0,0,
504,West,164,107,0.035,0,,220,0,0,
505,East,302,107,0.035,0,,360,0,0,
506,North,144,107,0.035,0,,200,0,0,
507,South,252,108,0.035,0,,310,0,0,
508,South,136,107,0.035,0,,190,0,0,
509,West,176,107,0.035,0,,230,0,0,
510,South,564,107,0.035,0,,620,0,0,
511,West,206,107,0.035,0,,260,0,0,
512,South,394,107,0.035,0,,450,0,0,
513,South,136,107,0.035,0,,190,0,0,
514,West,234,107,0.035,0,,290,0,0,
515,South,464,107,0.035,0,,520,0,0,
516,South,84,108,0.035,0,,140,0,0,
517,South,314,107,0.035,0,,370,0,0,
518,North,852,107,0.035,0,,910,0,0,
519,North,106,107,0.035,0,,160,0,0,
520,South,154,107,0.035,0,,210,0,0,
521,North,602,108,0.035,0,,660,0,0,
522,North,46,107,0.035,0,,100,0,0,
523,West,294,107,0.035,0,,350,0,0,
524,South,74,107,0.035,0,,130,0,0,
525,North,154,107,0.035,0,,210,0,0,
526,South,204,108,0.035,0,,260,0,0,
527,South,204,107,0.035,0,,260,0,0,
528,East,226,107,0.035,0,,280,0,0,
529,North,354,107,0.035,0,,410,0,0,
530,East,644,107,0.035,0,,700,0,0,
531,West,254,107,0.035,0,,310,0,0,
532,North,304,108,0.035,0,,360,0,0,
533,East,66,107,0.035,0,,120,0,0,
534,East,196,107,0.035,0,,250,0,0,
535,East,384,107,0.035,0,,440,0,0,
536,West,312,108,0.035,0,,370,0,0,
537,West,116,107,0.035,0,,170,0,0,
538,East,502,107,0.035,0,,560,0,0,
539,West,164,107,0.035,0,,220,0,0,
540,East,354,107,0.035,0,,410,0,0,
541,South,274,107,0.035,0,,330,0,0,
542,South,1452,107,0.035,0,,710,0,1,
543,East,116,107,0.035,0,,170,0,0,
544,South,214,107,0.035,0,,270,0,0,
545,East,214,107,0.035,0,,270,0,0,
546,West,184,107,0.035,0,,240,0,0,
547,South,194,108,0.035,0,,250,0,0,
548,North,86,107,0.035,0,,140,0,0,
549,South,446,107,0.035,0,,500,0,0,
550,West,124,107,0.035,0,,180,0,0,
551,South,394,107,0.035,0,,450,0,0,
552,South,274,107,0.035,0,,330,0,0,
553,South,222,108,0.035,0,,280,0,0,
554,East,264,107,0.035,0,,320,0,0,
555,North,226,107,0.035,0,,280,0,0,
556,South,164,108,0.035,0,,220,0,0,
557,North,372,107,0.035,0,,430,0,0,
558,West,332,108,0.035,0,,390,0,0,
559,South,522,107,0.035,0,,580,0,0,
560,West,114,108,0.035,0,,170,0,0,
561,South,194,108,0.035,0,,250,0,0,
562,North,344,107,0.035,0,,400,0,0,
563,South,162,108,0.035,0,,220,0,0,
564,East,274,107,0.035,0,,330,0,0,
565,West,356,107,0.035,0,,410,0,0,
566,North,112,108,0.035,0,,170,0,0,
567,South,224,107,0.035,0,,280,0,0,
568,North,312,108,0.035,0,,370,0,0,
569,South,364,107,0.035,0,,420,0,0,
570,North,286,107,0.035,0,,340,0,0,
571,North,194,107,0.035,0,,250,0,0,
572,South,294,107,0.035,0,,350,0,0,
573,North,184,107,0.035,0,,240,0,0,
574,North,204,108,0.035,0,,260,0,0,
575,West,114,107,0.035,0,,170,0,0,
576,South,744,108,0.035,0,,800,0,0,
577,West,202,108,0.035,0,,260,0,0,
578,South,274,107,0.035,0,,330,0,0,
579,East,86,107,0.035,0,,140,0,0,
580,West,374,108,0.035,0,,430,0,0,
581,North,274,107,0.035,0,,330,0,0,
582,East,196,107,0.035,0,,250,0,0,
583,East,394,107,0.035,0,,450,0,0,
584,South,54,107,0.035,0,,110,0,0,
585,South,592,108,0.035,0,,650,0,0,
586,West,316,107,0.035,0,,370,0,0,
587,South,-16,107,0.035,0,,40,0,0,
588,North,412,108,0.035,0,,470,0,0,
589,West,184,107,0.035,0,,240,0,0,
590,East,542,108,0.035,0,,600,0,0,
591,North,316,107,0.035,0,,370,0,0,
592,East,184,107,0.035,0,,240,0,0,
593,East,354,107,0.035,0,,410,0,0,
594,West,432,108,0.035,0,,490,0,0,
595,East,206,107,0.035,0,,260,0,0,
596,East,104,107,0.035,0,,160,0,0,
597,South,474,107,0.035,0,,530,0,0,
598,North,322,107,0.035,0,,380,0,0,
599,South,424,107,0.035,0,,480,0,0,
600,West,66,107,0.035,0,,120,0,0,
601,West,294,108,0.035,0,,350,0,0,
602,East,-4,107,0.035,0,,50,0,0,
603,North,6,107,0.035,0,,60,0,0,
604,East,614,107,0.035,0,,670,0,0,
605,West,174,107,0.035,0,,230,0,0,
606,South,142,108,0.035,0,,200,0,0,
607,East,2230,107,0.035,0,,690,0,2,
608,West,602,108,0.035,0,,660,0,0,
609,East,574,107,0.035,0,,630,0,0,
610,South,36,107,0.035,0,,90,0,0,
611,East,284,108,0.035,0,,340,0,0,
612,West,226,107,0.035,0,,280,0,0,
613,South,344,107,0.035,0,,400,0,0,
614,East,36,107,0.035,0,,90,0,0,
615,East,94,108,0.035,0,,150,0,0,
616,East,424,107,0.035,0,,480,0,0,
