Episode,Score,Turn,Epsilon,Reward,Penalty456,Complete,MZScore, HandComplete
4231,23907,109,0.020,23907,0,赤ドラ1 七対子 五門斉,16, 萬子3 萬子3 筒子5赤ドラ 筒子5 索子2 索子2 索子7 索子7 北風 北風 發ちゃん 發ちゃん 白ちゃん 白ちゃん
4232,23766,126,0.020,23766,0,,0, 
4233,23188,78,0.020,23188,0,七対子 五門斉,16, 萬子1 萬子1 萬子3 萬子3 萬子8 萬子8 筒子5 筒子5 索子5 索子5 北風 北風 白ちゃん 白ちゃん
4234,16466,52,0.020,16466,0,七対子 五門斉,16, 萬子1 萬子1 萬子8 萬子8 筒子5 筒子5 索子7 索子7 北風 北風 發ちゃん 白ちゃん 發ちゃん 白ちゃん
4235,19700,120,0.020,19700,0,七対子,16, 筒子5 筒子5 筒子6 筒子6 索子4 索子4 索子5 索子5 索子6 索子6 索子7 索子7 北風 北風
4236,18580,37,0.020,18580,0,七対子 五門斉,16, 萬子6 萬子6 筒子5 筒子5 索子4 索子4 索子7 索子7 北風 北風 白ちゃん 白ちゃん 發ちゃん 發ちゃん
4237,9876,126,0.020,9876,0,,0, 
4238,25976,126,0.020,25976,0,,0, 
4239,11605,83,0.020,11605,0,七対子,16, 萬子1 萬子1 筒子3 筒子3 筒子5 筒子5 索子4 索子4 索子7 索子7 北風 北風 東風 東風
4240,10716,126,0.020,10716,0,,0, 
4241,15196,126,0.020,15196,0,,0, 
4242,13575,85,0.020,13575,0,赤ドラ1 七対子,16, 萬子1 萬子1 萬子3 萬子3 萬子4 萬子4 筒子5 筒子5 索子5 索子5赤ドラ 索子7 索子7 白ちゃん 白ちゃん
4243,24305,125,0.020,24305,0,七対子 五門斉,16, 萬子3 萬子3 筒子5 筒子5 索子2 索子2 索子4 索子4 索子7 索子7 北風 北風 發ちゃん 發ちゃん
4244,16936,99,0.020,16936,0,赤ドラ1 七対子,16, 萬子1 萬子1 萬子3 萬子3 筒子5 筒子5赤ドラ 筒子5 筒子5 索子4 索子4 索子7 索子7 白ちゃん 白ちゃん
